rank,key,name,total,agent,coding,math,dialogue,ruozhiba,longctx,other,easy,med,hard,n,truncated,minutes
1,qwen35_35b_a3b_q5,Qwen3.5-35B-A3B Q5,96.03,89.75,98.75,97.5,93.33,95.0,100.0,100.0,97.02,93.06,93.75,192,2,103
2,qwen38_27b_q5,Qwen3.8-27B-Unc Q5,94.75,91.67,96.25,100.0,81.67,97.5,95.0,97.5,94.88,93.06,96.53,200,2,105
3,ornith35b_heretic,Ornith-1.5-35B-Heretic IQ,94.47,92.33,96.25,100.0,82.5,97.5,95.0,92.5,94.5,94.44,94.31,200,1,42
4,qwen35_4b_q4,Qwen3.5-4B Q4,93.86,91.79,96.25,97.5,83.33,97.5,86.67,100.0,94.5,89.58,96.53,200,4,130
5,glm_53_flash,GLM-5.3-Flash API参照,92.93,91.33,97.5,100.0,80.0,100.0,80.0,91.67,91.36,100.0,91.39,96,0,19
6,glm_53,GLM-5.3 API参照,92.6,94.67,100.0,100.0,56.67,90.0,100.0,90.0,90.38,100.0,94.44,50,1,18
7,qwen35_9b_mtp_q4,Qwen3.5-9B-MTP Q4,92.44,92.21,96.25,97.5,90.0,92.5,85.0,85.0,92.36,94.68,89.58,200,1,102
8,ornith9b_q4,Ornith-1.5-9B Q4,91.55,91.92,95.0,100.0,82.5,92.5,76.67,90.0,89.24,95.83,98.61,200,0,60
9,spark_x25_4b_q8,Spark-X2.5-4B Q8,91.22,90.25,88.75,100.0,79.17,92.5,90.0,92.5,91.74,90.28,89.58,200,3,68
10,gemma4_e4b_q4,gemma-4-E4B Q4,90.62,87.67,97.5,97.5,89.17,90.0,71.67,90.0,90.01,93.75,89.44,200,1,49
11,ling3_q4_kvq8,Ling-3.0-tiny Q4,90.03,92.62,95.0,97.5,80.0,87.5,70.0,92.5,89.14,93.29,90.28,200,1,67
12,lfm25_2p6b_q8,LFM2.5-2.6B Q8,88.48,89.08,97.5,97.5,80.83,90.0,58.33,87.5,87.42,90.51,91.67,200,5,39
13,gemma4_e2b_q8,gemma-4-E2B Q8,86.45,84.75,95.0,100.0,83.33,75.0,74.17,72.5,85.29,88.43,90.28,200,0,33
14,spark_x25_1p7b_q8,Spark-X2.5-1.7B Q8,85.33,87.04,80.0,90.0,81.67,87.5,85.0,85.0,86.24,83.1,83.33,200,4,55
15,mincpm5_2b_q8,MiniCPM5-2B Q8,84.45,61.0,93.75,92.5,72.5,85.0,100.0,92.5,86.18,77.08,85.42,200,7,100
16,qwen35_2b_q8,Qwen3.5-2B Q8,82.34,85.04,81.25,90.0,76.67,82.5,64.17,87.5,84.48,80.79,72.22,200,1,117
17,mincpm5_1b_q8,MiniCPM5-1B Q8,74.93,69.25,77.5,82.5,65.0,77.5,70.0,78.33,75.76,78.94,64.1,200,9,68
18,lfm25_8b_a1b_q8,LFM2.5-8B-A1B Q8,73.6,74.33,86.25,87.5,54.17,75.0,50.67,60.0,71.83,80.79,73.12,200,2,18
19,qwen35_08b_q8,Qwen3.5-0.8B Q8,62.75,77.92,47.5,55.0,71.67,67.5,60.0,67.5,67.35,56.71,45.0,200,10,120
20,mincpm1b_fable5_q8,1B-Fable5 Q8,60.92,48.75,76.25,65.0,51.67,65.0,45.0,67.5,65.13,57.64,41.25,200,12,78
21,rwkv7_g1j_1p5b_q8,RWKV7-G1j-1.5B Q8,55.78,50.58,37.5,67.5,74.17,80.0,20.0,72.5,58.02,51.39,49.31,200,99,115
22,rwkv7_g1i_1p5b_q8,RWKV7-g1i-1.5B Q8,54.73,44.75,37.5,65.0,61.67,82.5,21.17,87.5,58.48,43.06,50.42,200,80,157
23,rwkv7_g1j_2p9b_q4_rwkvdemo,RWKV7-G1j-2.9B Q4 · demo采样/8192/思考,48.31,38.5,40.0,45.0,59.58,70.0,39.0,67.5,52.44,40.28,36.25,200,113,214
24,rwkv7_g1j_2p9b_q4_official,RWKV7-G1j-2.9B Q4 · 官方口径/500/关思考,44.19,35.58,41.25,30.0,59.58,85.0,18.67,65.0,50.96,23.61,35.56,200,90,14
25,rwkv7_g1j_2p9b_q4_nothink8192,RWKV7-G1j-2.9B Q4 · 关思考/8192,43.37,35.17,52.5,32.5,52.5,50.0,23.33,67.5,45.9,37.5,37.36,200,74,117
26,rwkv7_g1j_2p9b_q4,RWKV7-G1j-2.9B Q4 · 旧协议/8192/思考,41.19,38.25,25.0,40.0,48.75,62.5,21.67,72.5,47.49,27.78,24.58,200,164,230
27,mincpm1b_agentic_q8,1B-Agentic-DPO Q8,37.53,25.58,36.25,40.0,45.83,45.0,27.5,53.33,43.45,13.89,38.47,200,35,145
28,mincpm1b_antihallu_q8_partial,1B-anti-hallu Q8,1.67,5.0,0.0,0.0,6.67,0.0,,,3.33,0.0,0.0,40,0,2
